,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
251,Borovskoy,92,KZ,1551895608,90,53.8,64.15,2.02,10.08
252,Lima,0,PE,1551895504,65,-12.06,-77.04,28.0,3.1
253,Balaipungut,44,ID,1551895608,72,1.11,101.31,24.49,0.98
254,Grindavik,20,IS,1551894856,74,63.84,-22.43,0.56,8.2
255,Severomorsk,75,RU,1551893400,79,69.07,33.42,-7.0,4.0
256,Yokadouma,68,CM,1551895609,89,3.52,15.05,23.27,1.08
257,Morro Bay,90,US,1551895553,93,35.37,-120.85,16.0,6.2
258,Srandakan,100,ID,1551895609,100,-7.94,110.25,22.17,1.18
259,Dondo,90,MZ,1551891600,88,-19.62,34.74,27.0,8.73
260,Rocha,8,UY,1551895480,64,-34.48,-54.34,31.42,4.48
261,Male,8,UA,1551895542,87,50.74,33.7,-2.91,3.23
262,Alamor,40,EC,1551891600,62,-4.02,-80.02,32.0,2.1
263,La Palma,68,CO,1551895611,84,5.36,-74.39,23.39,0.73
264,Kang,64,BW,1551895611,31,-23.67,22.79,30.72,3.68
265,Shingu,100,JP,1551895537,100,33.72,135.99,13.17,10.08
266,Mayo,20,CA,1551891600,67,63.59,-135.9,-31.0,1.38
267,Te Anau,56,NZ,1551895612,60,-45.41,167.72,15.52,7.53
268,Portneuf,75,CA,1551895553,47,46.69,-71.89,-8.89,7.2
269,Jaisalmer,0,IN,1551895612,61,26.91,70.91,16.27,1.13
270,Port-Gentil,40,GA,1551891600,74,-0.72,8.78,30.0,6.2
271,Saskylakh,68,RU,1551895173,73,71.97,114.09,-17.76,4.58
272,Lompoc,75,US,1551895170,82,34.64,-120.46,16.11,3.6
273,Fortuna,0,ES,1551895524,31,38.18,-1.13,23.0,5.1
274,Avera,1,US,1551895458,22,33.19,-82.53,8.89,3.1
275,Mersing,92,MY,1551895613,90,2.43,103.84,26.57,1.53
276,Kharp,80,RU,1551895613,76,66.82,65.8,-11.91,3.43
277,Naze,32,NG,1551895457,83,5.43,7.07,26.89,3.03
278,Luanda,20,AO,1551891600,66,-8.83,13.24,30.0,2.1
279,Aneho,0,TG,1551895613,96,6.23,1.6,29.32,5.23
280,Bambanglipuro,100,ID,1551895539,100,-7.95,110.28,22.17,1.18
281,Wufeng,75,TW,1551895508,82,24.63,121.12,16.67,7.7
282,Umm Kaddadah,0,SD,1551895472,22,13.6,26.69,23.92,4.88
283,Novyy Urengoy,88,RU,1551895524,76,66.08,76.63,-13.79,10.43
284,Puerto Madero,0,AR,1551895502,70,-34.61,-58.36,33.89,3.1
285,Saldanha,92,PT,1551895500,94,41.42,-6.55,6.59,7.38
286,Klaksvik,24,FO,1551894600,64,62.23,-6.59,2.0,2.6
287,Aykhal,48,RU,1551895615,67,65.95,111.51,-8.79,5.53
288,Sagar,0,IN,1551895615,62,23.84,78.75,14.82,1.88
289,Coahuayana,0,MX,1551895615,24,18.62,-100.35,30.27,1.18
290,Lavrentiya,12,RU,1551895255,100,65.58,-170.99,-12.39,2.68
291,Nuuk,90,GL,1551895374,42,64.17,-51.74,-1.0,1.0
292,Canto do Buriti,88,BR,1551895615,84,-8.11,-42.94,27.39,3.08
293,Grand Gaube,75,MU,1551895444,78,-20.01,57.66,27.0,4.1
294,Honningsvag,40,NO,1551894600,53,70.98,25.97,-6.0,3.1
295,Redmond,90,US,1551895378,60,47.67,-122.12,4.44,2.6
296,Vila,75,IT,1551895584,87,45.18,8.4,13.33,3.6
297,Ahipara,36,NZ,1551895483,100,-35.17,173.16,15.56,2.18
298,Bambous Virieux,75,MU,1551895444,78,-20.34,57.76,27.0,4.1
299,Auki,0,NG,1551895509,29,12.18,6.51,30.32,1.68
300,Caravelas,12,BR,1551895343,100,-17.73,-39.27,29.37,4.23
301,Saint-Leu,36,RE,1551895528,88,-21.15,55.28,24.44,2.6
302,Kieta,92,PG,1551895617,100,-6.22,155.63,25.49,0.98
303,Katsuura,90,JP,1551894883,87,33.93,134.5,10.0,7.7
304,Ereymentau,56,KZ,1551895540,89,51.62,73.1,-3.91,5.83
305,Lehututu,44,BW,1551895618,27,-23.92,21.83,29.89,3.13
306,Assiniboia,0,CA,1551895618,92,49.63,-105.99,-16.91,2.08
307,Kontagora,8,NG,1551895619,27,10.4,5.47,34.24,2.13
308,Abu Samrah,0,SY,1551895619,70,35.3,37.18,8.82,4.23
309,Gbarnga,44,LR,1551895619,29,7.0,-9.47,36.27,1.93
310,Aripuana,56,BR,1551895619,65,-9.17,-60.63,31.59,1.38
311,Belaya Gora,0,RU,1551895619,0,68.54,146.19,-35.14,1.23
312,Kangalassy,0,RU,1551893400,92,62.35,129.97,-13.0,1.0
313,Liverpool,75,GB,1551895273,81,53.41,-2.98,11.67,3.1
314,Sept-Iles,20,CA,1551895340,43,50.2,-66.38,-10.0,5.1
315,Smirnykh,8,RU,1551895620,78,49.74,142.83,-20.49,1.63
316,San Rafael,0,AR,1551895513,24,-34.61,-68.33,32.74,3.43
317,Pozo Colorado,8,PY,1551895620,66,-23.49,-58.8,34.39,5.38
318,Minot,90,US,1551895453,65,48.23,-101.3,-13.89,6.7
319,Tadine,32,NC,1551895621,95,-21.55,167.88,26.24,5.03
320,Hay River,20,CA,1551891600,66,60.82,-115.79,-10.0,4.1
321,Bend,90,US,1551895365,79,44.06,-121.32,0.0,1.23
322,Kurilsk,0,RU,1551895621,100,45.23,147.88,-6.24,5.73
323,Pombia,75,IT,1551895616,87,45.65,8.63,14.44,3.6
324,Maumere,76,ID,1551895622,100,-8.63,122.22,25.64,2.38
325,Cap Malheureux,75,MU,1551895444,78,-19.98,57.61,27.0,4.1
326,Dalbandin,0,PK,1551895253,59,28.9,64.41,7.84,1.88
327,Los Llanos de Aridane,75,ES,1551895204,59,28.66,-17.92,19.0,8.7
328,Pontian Kecil,75,MY,1551895215,78,1.48,103.39,28.0,1.0
329,Zhezkazgan,0,KZ,1551895622,53,47.8,67.71,-13.94,1.23
330,Willowmore,12,ZA,1551895623,36,-33.3,23.49,24.52,1.43
331,Deputatskiy,0,RU,1551895623,0,69.3,139.9,-36.54,1.23
332,Severodvinsk,90,RU,1551893400,85,64.56,39.82,-10.0,4.0
333,Berlevag,40,NO,1551894600,67,70.86,29.09,-7.0,9.8
334,Hailar,0,CN,1551895624,65,49.2,119.7,-12.59,2.13
335,New Amsterdam,36,GY,1551895624,49,6.25,-57.52,32.59,3.78
336,Ajdabiya,0,LY,1551895624,46,30.75,20.22,13.77,3.08
337,Kiblawan,92,PH,1551895624,100,6.62,125.25,23.12,2.53
338,Ostrovnoy,64,RU,1551895624,78,68.05,39.51,-13.41,6.73
339,Moshkovo,90,RU,1551893400,85,55.3,83.61,-7.0,3.0
340,Klichka,0,RU,1551895625,50,50.44,118.0,-13.84,1.13
341,Poum,0,MK,1551895484,92,41.28,20.71,1.92,0.78
342,Borogontsy,88,RU,1551895625,80,62.67,131.17,-15.84,2.68
343,Valparaiso,90,US,1551895276,49,41.47,-87.06,-2.78,3.1
344,Nova Paka,0,CZ,1551895624,61,50.49,15.52,9.44,4.1
345,Puerto Madryn,0,AR,1551895625,46,-42.77,-65.04,25.99,11.13
346,Dargaville,0,NZ,1551895626,86,-35.94,173.86,11.17,1.53
347,Marzuq,12,YE,1551895626,66,14.4,46.47,19.67,1.28
348,Kurchum,76,KZ,1551895626,94,48.57,83.65,-7.54,1.58
349,Kendari,88,ID,1551895550,97,-3.99,122.52,23.22,1.33
350,Bay Roberts,90,CA,1551895408,92,47.58,-53.28,-3.89,1.0
351,Ardmore,1,US,1551895622,47,34.99,-86.85,3.33,2.1
352,Galle,1,US,1551895624,30,29.74,-97.91,12.22,5.1
353,Guerrero Negro,20,MX,1551895456,57,27.97,-114.04,21.84,2.43
354,Aketi,68,CD,1551895627,71,2.74,23.78,26.57,1.98
355,Aksarka,76,RU,1551895511,79,66.56,67.8,-10.26,6.23
356,Yarada,40,IN,1551891600,83,17.65,83.27,28.0,4.6
357,Marystown,92,CA,1551895627,100,47.17,-55.16,-3.76,3.23
358,Fukue,75,JP,1551895451,93,35.03,136.69,12.22,10.3
359,Yebaishou,0,CN,1551895628,57,41.4,119.64,-5.49,2.53
360,Virginia Beach,20,US,1551895625,31,36.85,-75.98,3.33,7.7
361,Balkanabat,0,TM,1551895628,83,39.51,54.36,3.87,1.68
362,Tomatlan,0,MX,1551895628,58,19.93,-105.25,28.09,1.53
363,Xiamen,90,CN,1551891600,93,24.46,118.07,14.0,8.0
364,Gejiu,92,CN,1551895629,97,23.36,103.16,13.02,1.08
365,Saint Anthony,90,US,1551895274,80,43.97,-111.68,3.89,3.1
366,Nova Olinda do Norte,32,BR,1551895629,52,-3.89,-59.1,33.27,2.38
367,Manicore,80,BR,1551895629,74,-5.81,-61.3,28.84,1.23
368,Port Keats,20,AU,1551895629,86,-14.25,129.55,27.12,1.63
369,Coquimbo,20,CL,1551891600,64,-29.95,-71.34,21.0,6.7
370,Encheng,92,CN,1551895630,95,22.74,107.09,13.49,3.03
371,Nemuro,20,JP,1551895471,100,43.32,145.57,-2.01,10.18
372,Labuhan,88,ID,1551895475,94,-2.54,115.51,22.39,0.78
373,Ketchikan,1,US,1551891360,55,55.34,-131.65,3.0,7.2
374,Buraydah,20,SA,1551891600,48,26.33,43.97,17.0,2.1
375,Anadyr,40,RU,1551895400,92,64.73,177.51,-8.0,3.0
376,Sena Madureira,20,BR,1551895631,63,-9.07,-68.66,32.67,1.33
377,Paamiut,12,GL,1551895631,82,61.99,-49.67,1.59,11.13
378,Hami,8,CN,1551895631,68,42.84,93.51,1.49,1.33
379,Areosa,75,PT,1551895625,66,41.72,-8.86,13.33,7.7
380,Buin,0,CL,1551895430,28,-33.73,-70.74,29.0,2.1
381,Mana,0,RS,1551893400,50,43.52,20.24,11.0,0.5
382,Camargo,8,MX,1551895501,29,27.69,-105.17,17.72,3.43
383,Truth or Consequences,1,US,1551895255,25,33.13,-107.25,18.33,5.1
384,Raudeberg,75,NO,1551895203,80,61.99,5.14,4.0,4.1
385,Isangel,92,VU,1551895633,100,-19.55,169.27,27.67,5.53
386,Lucapa,24,AO,1551895633,93,-8.42,20.74,21.72,1.63
387,East Angus,75,CA,1551895325,43,45.48,-71.66,-11.0,7.7
388,Along,92,IN,1551895634,97,28.17,94.8,9.89,0.73
389,Cabatuan,80,PH,1551895634,78,16.95,121.67,22.77,1.28
390,Verkhniy Avzyan,88,RU,1551895634,88,53.53,57.54,-0.69,6.08
391,Richards Bay,0,ZA,1551895387,74,-28.77,32.06,26.72,5.03
392,Akdepe,0,TM,1551893400,52,42.05,59.39,6.0,4.1
393,Georgetown,40,GY,1551891600,74,6.8,-58.16,30.0,6.2
394,Weihai,0,CN,1551895342,99,37.5,122.11,4.24,12.48
395,Whitehorse,5,CA,1551895377,76,60.72,-135.06,-18.33,0.88
396,Kudahuvadhoo,76,MV,1551895635,100,2.67,72.89,28.37,4.23
397,Nanakuli,90,US,1551895552,93,21.39,-158.15,20.0,3.1
398,Dingli,20,MT,1551895527,93,35.86,14.38,15.0,5.1
399,Koslan,64,RU,1551895482,74,63.46,48.9,-9.54,3.68
400,Mankato,1,US,1551895622,61,44.16,-94.0,-7.78,3.6
401,Waingapu,88,ID,1551895635,99,-9.65,120.26,24.32,1.23
402,Trinidad,20,UY,1551891600,66,-33.52,-56.9,31.0,4.1
403,Chivay,44,PE,1551895636,80,-15.64,-71.6,10.24,1.43
404,Quchan,24,IR,1551895636,94,37.11,58.51,-0.36,0.88
405,Trairi,92,BR,1551895488,100,-3.28,-39.27,25.72,3.93
406,Anisoc,24,GQ,1551895636,88,1.87,10.77,24.37,1.18
407,Makat,36,KZ,1551895637,90,47.65,53.35,2.32,4.33
408,La Ronge,5,CA,1551891600,71,55.1,-105.3,-15.0,3.1
409,Borba,40,PT,1551892800,81,38.81,-7.46,12.0,8.7
410,Ulaangom,0,MN,1551895595,80,49.98,92.07,-11.29,2.08
411,Rhymney,75,GB,1551895626,93,51.76,-3.29,10.56,8.7
412,Lethem,0,GY,1551895637,35,3.38,-59.8,36.24,6.53
413,Novovyazniki,0,RU,1551895638,69,56.2,42.16,-10.41,6.93
414,Auriflama,20,BR,1551895638,85,-20.68,-50.56,29.74,2.63
415,Kutum,0,SD,1551895536,33,14.2,24.66,21.17,3.78
416,Shaoxing,40,CN,1551895575,81,30.0,120.58,10.56,3.0
417,Sirajganj,68,BD,1551895638,84,24.46,89.71,18.99,2.03
418,Bandarbeyla,0,SO,1551895483,100,9.49,50.81,25.92,4.53
419,Tortoli,75,IT,1551891300,87,39.93,9.66,14.0,11.3
420,Bathsheba,40,BB,1551891600,58,13.22,-59.52,30.0,8.2
421,Lancaster,75,US,1551895391,67,40.04,-76.31,-3.89,7.2
422,Isparta,75,TR,1551894600,61,37.77,30.56,9.0,0.93
423,Pomabamba,8,PE,1551895639,59,-8.82,-77.46,16.64,1.08
424,Kavaratti,8,IN,1551895222,100,10.57,72.64,27.84,7.08
425,Bagdarin,0,RU,1551895639,47,54.44,113.59,-15.94,0.98
426,Tezu,92,IN,1551895640,98,27.93,96.16,7.84,0.63
427,Abdulino,88,RU,1551895640,94,53.68,53.66,0.84,6.73
428,Bay City,90,US,1551895583,57,43.59,-83.89,-6.67,6.2
429,North Bend,90,US,1551895421,100,43.41,-124.22,6.11,1.88
430,Tikrit,0,IQ,1551895448,50,34.62,43.68,11.59,3.13
431,Havre-Saint-Pierre,20,CA,1551891600,47,50.23,-63.6,-11.0,6.2
432,Itaituba,40,BR,1551891600,74,-4.26,-55.99,28.0,2.53
433,Ishikawa,92,JP,1551895402,92,37.14,140.45,8.33,1.13
434,Kalmunai,0,LK,1551895482,96,7.42,81.82,24.82,3.03
435,Chirilagua,0,SV,1551894600,38,13.22,-88.14,35.0,5.1
436,Rorvik,0,NO,1551895502,58,64.86,11.24,-3.0,2.6
437,Portales,1,US,1551895549,31,34.19,-103.33,10.0,6.7
438,Babu,92,CN,1551895641,97,23.23,104.89,13.52,1.13
439,Cuamba,92,MZ,1551895641,98,-14.8,36.54,20.42,1.63
440,Rognan,90,NO,1551895308,86,67.1,15.4,-0.57,10.8
441,Shellbrook,20,CA,1551891600,65,53.22,-106.39,-14.0,3.1
442,Tias,20,ES,1551893400,60,28.96,-13.65,21.0,8.2
443,Wiarton,75,CA,1551895470,56,44.74,-81.13,-8.89,5.1
444,Zarechnyy,24,RU,1551895643,71,60.99,40.4,-13.14,6.18
445,Huicungo,75,PE,1551891600,70,-7.28,-76.8,31.0,2.1
446,Bilma,0,NE,1551895467,19,18.69,12.92,21.09,1.88
447,Port Augusta,0,AU,1551895268,59,-32.49,137.76,16.0,3.6
448,Maniitsoq,56,GL,1551895643,84,65.42,-52.9,-5.99,3.48
449,Nishihara,75,JP,1551895469,100,35.74,139.53,11.67,2.1
450,Cape Canaveral,1,US,1551895627,44,28.41,-80.6,15.56,7.7
451,Guamuchil,12,MX,1551895219,59,25.47,-108.1,24.44,1.48
452,Zyryanka,64,RU,1551895644,67,65.73,150.89,-23.11,1.23
453,Sfantu Gheorghe,0,RO,1551895456,31,44.65,26.83,11.11,3.6
454,Bereda,40,ES,1551895439,81,43.27,-7.54,11.67,5.7
455,Castanos,48,MX,1551895503,32,26.78,-101.42,12.78,1.34
456,Chara,20,GR,1551894600,66,39.42,22.43,13.0,1.5
457,Hoa Binh,75,VN,1551893400,68,20.81,105.34,19.0,4.6
458,Mezhdurechensk,56,RU,1551895645,72,53.69,88.07,-11.39,0.98
459,Matagami,0,NG,1551895645,46,9.67,8.4,27.49,1.43
460,Kirakira,88,SB,1551895645,97,-10.46,161.92,28.82,4.83
461,Shimoda,92,JP,1551890541,93,34.7,138.93,7.78,0.45
462,Meulaboh,8,ID,1551895204,100,4.14,96.13,26.99,1.28
463,Ginir,0,ET,1551895646,37,7.14,40.71,20.12,2.63
464,Bima,88,ID,1551895646,100,-8.45,118.73,24.07,1.98
465,Huarmey,20,PE,1551895646,56,-10.07,-78.15,27.37,2.08
466,Kathor,0,IN,1551895646,80,21.29,72.94,18.09,2.63
467,Faya,20,SA,1551891600,76,18.39,42.45,14.0,3.6
468,Charters Towers,24,AU,1551895647,94,-20.07,146.27,21.37,1.28
469,Tazovskiy,68,RU,1551895412,65,67.47,78.7,-16.29,9.43
470,Staryy Nadym,88,RU,1551895648,83,65.61,72.68,-9.99,9.98
471,Tungor,36,RU,1551895648,72,53.39,142.95,-21.29,1.33
472,Nioro,0,GM,1551895648,14,13.79,-15.05,36.22,3.93
473,Natitingou,0,BJ,1551895648,20,10.31,1.38,33.62,1.38
474,Dengfeng,20,CN,1551895649,40,34.46,113.03,3.47,3.63
475,Lieksa,24,FI,1551895649,70,63.32,30.02,-8.74,3.73
476,Liuhe,0,CN,1551895649,67,42.28,125.73,-8.61,1.63
477,Dapaong,0,TG,1551895649,21,10.86,0.2,34.34,1.63
478,Poronaysk,24,RU,1551895461,80,49.22,143.1,-16.01,1.83
479,Karwar,0,IN,1551895383,78,14.8,74.13,19.64,0.78
480,Nantucket,20,US,1551895442,27,41.28,-70.1,-2.22,7.7
481,Santa Maria,24,BR,1551895651,75,-29.69,-53.81,28.77,3.68
482,Nome,1,US,1551895626,28,30.04,-94.42,13.33,3.6
483,Karpogory,0,RU,1551895652,68,64.0,44.44,-12.69,2.93
484,Port Hardy,75,CA,1551891600,86,50.7,-127.42,-1.0,1.5
485,Dodoma,20,TZ,1551891600,73,-6.18,35.75,24.0,2.6
486,College,90,US,1551895524,85,64.86,-147.8,-5.0,1.63
487,Trofors,75,NO,1551894600,79,65.54,13.39,-2.0,1.0
488,Kayerkan,48,RU,1551895652,71,69.35,87.76,-17.34,7.03
489,Eydhafushi,0,MV,1551895653,99,5.1,73.07,28.42,3.98
490,Fort Frances,90,CA,1551895204,65,48.61,-93.4,-12.22,6.7
491,Bria,92,CF,1551895653,74,6.54,21.99,23.17,2.08
492,Beyneu,0,KZ,1551895653,80,45.32,55.19,2.47,3.48
493,Lugovoy,92,RU,1551895487,89,59.72,65.88,-0.94,6.58
494,Bataipora,44,BR,1551895655,100,-22.3,-53.27,26.09,2.08
495,Hurricane,90,US,1551895299,93,37.18,-113.29,11.67,11.8
496,Santiago de Cao,75,PE,1551891600,83,-7.96,-79.24,24.0,4.1
497,Alekseyevsk,92,RU,1551895655,83,57.84,108.35,-4.89,1.18
498,Matveyevka,0,UA,1551895655,76,45.75,33.81,3.89,1.43
499,Ust-Uda,76,RU,1551895656,71,54.17,103.03,-6.16,1.08
500,Abbeville,90,FR,1551895368,87,50.11,1.83,11.0,4.1
501,Maragogi,92,BR,1551895460,82,-9.01,-35.22,28.09,4.78
502,Diffa,0,NE,1551895426,16,13.32,12.61,29.77,3.98
503,Santa Ana,20,SV,1551895506,31,13.99,-89.56,31.0,8.7
